api_type,kind,member,type,default,status,comment
ETcVnBarcodeType,Enums,TCVN_BT_CODE128,UDINT,,present,The algorithm searches for Code-128 codes.
ETcVnBarcodeType,Enums,TCVN_BT_EAN8,UDINT,,present,The algorithm searches for EAN-8 codes.
ETcVnBarcodeType,Enums,TCVN_BT_EAN13,UDINT,,present,The algorithm searches for EAN-13 codes.
ETcVnBarcodeType,Enums,TCVN_BT_ITF,UDINT,,present,The algorithm searches for ITF codes.
ETcVnBarcodeType,Enums,TCVN_BT_UPCA,UDINT,,present,The algorithm searches for UPC-A codes.
ETcVnBarcodeType,Enums,TCVN_BT_UPCE,UDINT,,present,The algorithm searches for UPC-E codes.
ETcVnBarcodeType,Enums,TCVN_BT_ANY,UDINT,,present,"The algorithm searches for any supported linear barcode. If the type of the code is known, it is recommended to select the specific type directly."
ETcVnBarcodeType,Enums,TCVN_BT_CODE39EXTENDED,UDINT,,present,The algorithm searches for Code-93-Extended codes.
ETcVnBlobCombination,Enums,TCVN_BC_SMALLEST,DINT,,present,Returns the smallest blob contour.
ETcVnBlobCombination,Enums,TCVN_BC_LARGEST,DINT,,present,Returns the largest blob contour.
ETcVnBlobCombination,Enums,TCVN_BC_MIN_THRESHOLD,DINT,,present,Returns the blob contour for the minimum threshold.
ETcVnBlobCombination,Enums,TCVN_BC_MAX_THRESHOLD,DINT,,present,Returns the blob contour for the maximum threshold.
ETcVnBlobCombination,Enums,TCVN_BC_MEDIAN_THRESHOLD,DINT,,present,Returns the blob contour for the median threshold.
ETcVnBoostClassifierType,Enums,TCVN_BCT_DISCRETE,DINT,,present,Discrete AdaBoost
ETcVnBoostClassifierType,Enums,TCVN_BCT_REAL,DINT,,present,Real AdaBoost
ETcVnBoostClassifierType,Enums,TCVN_BCT_LOGIT,DINT,,present,LogitBoost
ETcVnBoostClassifierType,Enums,TCVN_BCT_GENTLE,DINT,,present,Gentle AdaBoost
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_CONSTANT,DINT,,present,iiiiiii | abcdefgh | iiiiiii (with some specified i)
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_REPLICATE,DINT,,present,aaaaaaa | abcdefgh | hhhhhhh
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_REFLECT,DINT,,present,gfedcba | abcdefgh | hgfedcb
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_WRAP,DINT,,present,bcdefgh | abcdefgh | abcdefg
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_REFLECT_101,DINT,,present,hgfedcb | abcdefgh | gfedcba
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_DEFAULT,DINT,,present,Choose this if you don't know which method to select (same as REFLECT_101).
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_TRANSPARENT,DINT,,present,Corresponding pixels in the destination image will not be modified. Only available for geometric image transformations.
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_ISOLATED_CONSTANT,DINT,,present,"Similar to CONSTANT, but ROIs are handled as isolated, which means surrounding image pixels outside the ROI are ignored."
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_ISOLATED_REPLICATE,DINT,,present,"Similar to REPLICATE, but ROIs are handled as isolated, which means surrounding image pixels outside the ROI are ignored."
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_ISOLATED_REFLECT,DINT,,present,"Similar to REFLECT, but ROIs are handled as isolated, which means surrounding image pixels outside the ROI are ignored."
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_ISOLATED_WRAP,DINT,,present,"Similar to WRAP, but ROIs are handled as isolated, which means surrounding image pixels outside the ROI are ignored."
ETcVnBorderInterpolationMethod,Enums,TCVN_BIM_ISOLATED_REFLECT_101,DINT,,present,"Similar to REFLECT_101, but ROIs are handled as isolated, which means surrounding image pixels outside the ROI are ignored."
ETcVnCalibrationPattern,Enums,TCVN_CP_CIRCLES_SYM,DINT,,present,Symmetric circle pattern
ETcVnCalibrationPattern,Enums,TCVN_CP_CIRCLES_ASYM,DINT,,present,"Asymmetric circle pattern, i.e. every 2nd row is indented, starting unindented"
ETcVnCalibrationPattern,Enums,TCVN_CP_CIRCLES_ASYM_INDENT,DINT,,present,"Asymmetric circle pattern, i.e. every 2nd row is indented, starting indented"
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_TOPLEFT,DINT,,present,Origin is at top left
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_TOPCENTER,DINT,,present,Origin is at top center
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_TOPRIGHT,DINT,,present,Origin is at top right
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_CENTERLEFT,DINT,,present,Origin is at center left
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_CENTER,DINT,,present,Origin is at center
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_CENTERRIGHT,DINT,,present,Origin is at center right
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_BOTTOMLEFT,DINT,,present,Origin is at bottom left
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_BOTTOMCENTER,DINT,,present,Origin is at bottom center
ETcVnCalibrationPatternOrigin,Enums,TCVN_CPO_BOTTOMRIGHT,DINT,,present,Origin is at bottom right
ETcVnCameraState,Enums,TCVN_CS_ERROR,DINT,,present,The camera controller is in an error state (e.g. the connection to the camera was lost).
ETcVnCameraState,Enums,TCVN_CS_INITIAL,DINT,,present,The camera controller is in the initial state and ready to establish the connection to the camera.
ETcVnCameraState,Enums,TCVN_CS_INITIALIZING,DINT,,present,The camera controller is initializing the camera.
ETcVnCameraState,Enums,TCVN_CS_INITIALIZED,DINT,,present,The camera controller has initialized the camera.
ETcVnCameraState,Enums,TCVN_CS_OPENING,DINT,,present,The camera controller is establishing the connection to the camera.
ETcVnCameraState,Enums,TCVN_CS_OPENED,DINT,,present,The connection to the camera has been established and the camera controller is ready to start the image acquisition.
ETcVnCameraState,Enums,TCVN_CS_STARTACQUISITION,DINT,,present,The camera controller is starting the image acquisition.
ETcVnCameraState,Enums,TCVN_CS_ACQUIRING,DINT,,present,"The camera is sending images (either streaming or manually triggered, depending on the configuration)."
ETcVnCameraState,Enums,TCVN_CS_STOPACQUISITION,DINT,,present,The camera controller is stopping the image acquisition.
ETcVnCameraState,Enums,TCVN_CS_RESETTINGFEATURES,DINT,,present,The camera controller is resetting the features on the camera.
ETcVnCameraState,Enums,TCVN_CS_TRIGGERING,DINT,,present,The camera controller is processing a softwaretrigger.
ETcVnCameraState,Enums,TCVN_CS_CLOSING,DINT,,present,The camera controller is closing the connection to the camera.
ETcVnCircularityCalculationMethod,Enums,TCVN_CCM_DEFAULT,DINT,,present,4pi * area / perimeter^2
ETcVnCircularityCalculationMethod,Enums,TCVN_CCM_CONVEXHULL_PERIMETER,DINT,,present,4pi * area / (convex hull perimeter)^2
ETcVnCircularityCalculationMethod,Enums,TCVN_CCM_MAX_RADIUS,DINT,,present,"area / (pi * r^2), r = max distance to the contour's center of mass"
ETcVnCircularityCalculationMethod,Enums,TCVN_CCM_ENCLOSINGCIRCLE_RADIUS,DINT,,present,"area / (pi * r^2), r = radius of the minimum enclosing circle"
ETcVnClusteringAlgorithm,Enums,TCVN_CA_KMEANSPP,DINT,,present,KMeans++ (fixed number of clusters)
ETcVnClusteringAlgorithm,Enums,TCVN_CA_LBG,DINT,,present,LBG variant (dynamic number of clusters)
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_1_1,ULINT,,present,"Object detection model detects 1D and 2D codes and classifies 2D codes into QR code, Data Matrix code and DotCode types. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and the corresponding code type for each detection. Input: 224×224 RGB image."
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_1_2,ULINT,,present,"Object detection model detects 1D and 2D codes and classifies 2D codes into QR code, Data Matrix code and DotCode types. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and the corresponding code type for each detection. Input: 352×256 RGB image."
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_1_3,ULINT,,present,"Object detection model detects 1D and 2D codes and classifies 2D codes into QR code, Data Matrix code and DotCode types. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and the corresponding code type for each detection. Input: 416×352 RGB image."
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_2_1,ULINT,,present,Object detection model detects 1D codes. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and TCVN_CT_1D code type for each detection. Input: 224×224 RGB image.
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_2_2,ULINT,,present,Object detection model detects 1D codes. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and TCVN_CT_1D code type for each detection. Input: 352×256 RGB image.
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_2_3,ULINT,,present,Object detection model detects 1D codes. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and TCVN_CT_1D code type for each detection. Input: 416×352 RGB image.
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_3_1,ULINT,,present,Object detection model detects 2D codes. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and TCVN_CT_2D code type for each detection. Input: 224×224 RGB image.
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_3_2,ULINT,,present,Object detection model detects 2D codes. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and TCVN_CT_2D code type for each detection. Input: 352×256 RGB image.
ETcVnCodeDetectionModel,Enums,TCVN_CDM_DETECT_3_3,ULINT,,present,Object detection model detects 2D codes. It provides bounding boxes (ContainerType_Vector_TcVnRectangle_DINT) and TCVN_CT_2D code type for each detection. Input: 416×352 RGB image.
ETcVnCodeType,Enums,TCVN_CT_ANY,ULINT,,present,One-dimensional and two-dimensional codes
ETcVnCodeType,Enums,TCVN_CT_1D,ULINT,,present,"One-dimensional code, e.g. types from ETcVnBarcodeType"
ETcVnCodeType,Enums,TCVN_CT_2D,ULINT,,present,"Two-dimensional code, e.g. QR code, Data Matrix code, and DotCode"
ETcVnCodeType,Enums,TCVN_CT_QR,ULINT,,present,QR code
ETcVnCodeType,Enums,TCVN_CT_DATAMATRIX,ULINT,,present,Data Matrix code
ETcVnCodeType,Enums,TCVN_CT_DOTCODE,ULINT,,present,DotCode
ETcVnColorMap,Enums,TCVN_CM_AUTUMN,DINT,,present,Red - orange - yellow
ETcVnColorMap,Enums,TCVN_CM_BONE,DINT,,present,Black - blueish gray - white
ETcVnColorMap,Enums,TCVN_CM_JET,DINT,,present,Dark blue - green - dark red
ETcVnColorMap,Enums,TCVN_CM_WINTER,DINT,,present,Blue - green
ETcVnColorMap,Enums,TCVN_CM_RAINBOW,DINT,,present,Red - green - purple
ETcVnColorMap,Enums,TCVN_CM_OCEAN,DINT,,present,Black - blue - white
ETcVnColorMap,Enums,TCVN_CM_SUMMER,DINT,,present,Green - yellow
ETcVnColorMap,Enums,TCVN_CM_SPRING,DINT,,present,Pink - yellow
ETcVnColorMap,Enums,TCVN_CM_COOL,DINT,,present,Cyan - magenta
ETcVnColorMap,Enums,TCVN_CM_HSV,DINT,,present,Red - green - blue - red
ETcVnColorMap,Enums,TCVN_CM_PINK,DINT,,present,Black - pink - light yellow - white
ETcVnColorMap,Enums,TCVN_CM_HOT,DINT,,present,Black - red - yellow - white
ETcVnColorMap,Enums,TCVN_CM_PARULA,DINT,,present,Blue - yellow
ETcVnColorMap,Enums,TCVN_CM_MAGMA,DINT,,present,Black - magenta - light yellow
ETcVnColorMap,Enums,TCVN_CM_INFERNO,DINT,,present,Black - magenta - yellow
ETcVnColorMap,Enums,TCVN_CM_PLASMA,DINT,,present,Blue - magenta - yellow
ETcVnColorMap,Enums,TCVN_CM_VIRIDIS,DINT,,present,Purple - yellow
ETcVnColorMap,Enums,TCVN_CM_CIVIDIS,DINT,,present,Blue - gray - yellow
ETcVnColorMap,Enums,TCVN_CM_TWILIGHT,DINT,,present,White - light blue - dark purple - light red - white
ETcVnColorMap,Enums,TCVN_CM_TWILIGHT_SHIFTED,DINT,,present,Dark purple - light blue - white - light red - dark purple
ETcVnColorMap,Enums,TCVN_CM_TURBO,DINT,,present,Dark blue - light green - dark red
ETcVnColorMapSize,Enums,TCVN_CMS_256,UDINT,,present,"256 colors, used for 8 bit images (TCVN_ET_USINT)"
ETcVnColorMapSize,Enums,TCVN_CMS_65536,UDINT,,present,"65536 colors, used for 16 bit images (TCVN_ET_UINT)"
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_BGRA,DINT,,present,Transform the color space from BGR to BGRA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_RGBA,DINT,,present,Transform the color space from RGB to RGBA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGRA_TO_BGR,DINT,,present,Transform the color space from BGRA to BGR.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGBA_TO_RGB,DINT,,present,Transform the color space from RGBA to RGB.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_RGBA,DINT,,present,Transform the color space from BGR to RGBA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_BGRA,DINT,,present,Transform the color space from RGB to BGRA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGRA_TO_RGB,DINT,,present,Transform the color space from BGRA to RGB.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGBA_TO_BGR,DINT,,present,Transform the color space from RGBA to BGR.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_RGB,DINT,,present,Transform the color space from BGR to RGB.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_BGR,DINT,,present,Transform the color space from RGB to BGR.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGRA_TO_RGBA,DINT,,present,Transform the color space from BGRA to RGBA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGBA_TO_BGRA,DINT,,present,Transform the color space from RGBA to BGRA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_GRAY,DINT,,present,Transform the color space from BGR to Gray.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_GRAY,DINT,,present,Transform the color space from RGB to Gray.
ETcVnColorSpaceTransform,Enums,TCVN_CST_GRAY_TO_BGR,DINT,,present,Transform the color space from Gray to BGR.
ETcVnColorSpaceTransform,Enums,TCVN_CST_GRAY_TO_RGB,DINT,,present,Transform the color space from Gray to RGB.
ETcVnColorSpaceTransform,Enums,TCVN_CST_GRAY_TO_BGRA,DINT,,present,Transform the color space from Gray to BGRA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_GRAY_TO_RGBA,DINT,,present,Transform the color space from Gray to RGBA.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGRA_TO_GRAY,DINT,,present,Transform the color space from BGRA to Gray.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGBA_TO_GRAY,DINT,,present,Transform the color space from RGBA to Gray.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_BGR_565,DINT,,present,Transform the color space from RGB(24 bit 888) to BGR(16 bit 565).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_BGR_565,DINT,,present,Transform the color space from BGR(24 bit 888) to BGR(16 bit 565).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_565_TO_RGB,DINT,,present,Transform the color space from BGR(16 bit 565) to RGB(24 bit 888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_565_TO_BGR,DINT,,present,Transform the color space from BGR(16 bit 565) to BGR(24 bit 888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGBA_TO_BGR_565,DINT,,present,Transform the color space from RGBA(32 bit 8888) to BGR(16 bit 565).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGRA_TO_BGR_565,DINT,,present,Transform the color space from BGRA(32 bit 8888) to BGR(16 bit 565).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_565_TO_RGBA,DINT,,present,Transform the color space from BGR(16 bit 565) to RGBA(32 bit 8888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_565_TO_BGRA,DINT,,present,Transform the color space from BGR(16 bit 565) to BGRA(32 bit 8888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_GRAY_TO_BGR_565,DINT,,present,Transform the color space from Gray to BGR(16 bit 565).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_565_TO_GRAY,DINT,,present,Transform the color space from BGR(16 bit 565) to Gray.
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_BGR_555,DINT,,present,Transform the color space from RGB(24 bit 888) to BGR(16 bit 555).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_BGR_555,DINT,,present,Transform the color space from BGR(24 bit 888) to BGR(16 bit 555).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_555_TO_RGB,DINT,,present,Transform the color space from BGR(16 bit 555) to RGB(24 bit 888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_555_TO_BGR,DINT,,present,Transform the color space from BGR(16 bit 555) to BGR(24 bit 888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGBA_TO_BGR_555,DINT,,present,Transform the color space from RGBA(32 bit 8888) to BGR(16 bit 555).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGRA_TO_BGR_555,DINT,,present,Transform the color space from BGRA(32 bit 8888) to BGR(16 bit 555).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_555_TO_RGBA,DINT,,present,Transform the color space from BGR(16 bit 555) to RGBA(32 bit 8888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_555_TO_BGRA,DINT,,present,Transform the color space from BGR(16 bit 555) to BGRA(32 bit 8888).
ETcVnColorSpaceTransform,Enums,TCVN_CST_GRAY_TO_BGR_555,DINT,,present,Transform the color space from Gray to BGR(16 bit 555).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_555_TO_GRAY,DINT,,present,Transform the color space from BGR(16 bit 555) to Gray.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_XYZ,DINT,,present,Transform the color space from BGR to CIE XYZ (scaled to the full value range of the image).
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_XYZ,DINT,,present,Transform the color space from RGB to CIE XYZ (scaled to the full value range of the image).
ETcVnColorSpaceTransform,Enums,TCVN_CST_XYZ_TO_BGR,DINT,,present,Transform the color space from CIE XYZ (scaled to the full value range of the image) to BGR.
ETcVnColorSpaceTransform,Enums,TCVN_CST_XYZ_TO_RGB,DINT,,present,Transform the color space from CIE XYZ (scaled to the full value range of the image) to RGB.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_YCRCB,DINT,,present,Transform the color space from BGR to YCrCb (scaled to the full value range of the image).
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_YCRCB,DINT,,present,Transform the color space from RGB to YCrCb (scaled to the full value range of the image).
ETcVnColorSpaceTransform,Enums,TCVN_CST_YCRCB_TO_BGR,DINT,,present,Transform the color space from YCrCb (scaled to the full value range of the image) to BGR.
ETcVnColorSpaceTransform,Enums,TCVN_CST_YCRCB_TO_RGB,DINT,,present,Transform the color space from YCrCb (scaled to the full value range of the image) to RGB.
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_HSV,DINT,,present,"Transform the color space from BGR to HSV (supports images of type USINT or REAL; for USINT, H is scaled to a range from 0 to 180 and S,V from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_HSV,DINT,,present,"Transform the color space from RGB to HSV (supports images of type USINT or REAL; for USINT, H is scaled to a range from 0 to 180 and S,V from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_LAB,DINT,,present,"Transform the color space from BGR to CIE L*a*b* (for images of type USINT, all channels are scaled to a range from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_LAB,DINT,,present,"Transform the color space from RGB to CIE L*a*b* (for images of type USINT, all channels are scaled to a range from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_RG_TO_BGR,DINT,,present,Transform the color space from BayerRG to BGR (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_BG_TO_RGB,DINT,,present,Transform the color space from BayerBG to RGB (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GR_TO_BGR,DINT,,present,Transform the color space from BayerGR to BGR (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GB_TO_RGB,DINT,,present,Transform the color space from BayerGB to RGB (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_BG_TO_BGR,DINT,,present,Transform the color space from BayerBG to BGR (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_RG_TO_RGB,DINT,,present,Transform the color space from BayerRG to RGB (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GB_TO_BGR,DINT,,present,Transform the color space from BayerGB to BGR (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GR_TO_RGB,DINT,,present,Transform the color space from BayerGR to RGB (supports images of type USINT or UINT).
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_LUV,DINT,,present,"Transform the color space from BGR to CIE L*u*v* (for images of type USINT, all channels are scaled to a range from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_LUV,DINT,,present,"Transform the color space from RGB to CIE L*u*v* (for images of type USINT, all channels are scaled to a range from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BGR_TO_HLS,DINT,,present,"Transform the color space from BGR to HLS (for images of type USINT, H is scaled to a range from 0 to 180 and L,S from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_RGB_TO_HLS,DINT,,present,"Transform the color space from RGB to HLS (for images of type USINT, H is scaled to a range from 0 to 180 and L,S from 0 to 255)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_HSV_TO_BGR,DINT,,present,"Transform the color space from HSV (for images of type USINT, H is scaled to a range from 0 to 180 and S,V from 0 to 255) to BGR."
ETcVnColorSpaceTransform,Enums,TCVN_CST_HSV_TO_RGB,DINT,,present,"Transform the color space from HSV (for images of type USINT, H is scaled to a range from 0 to 180 and S,V from 0 to 255) to RGB."
ETcVnColorSpaceTransform,Enums,TCVN_CST_LAB_TO_BGR,DINT,,present,"Transform the color space from CIE L*a*b* (for images of type USINT, all channels are scaled to a range from 0 to 255) to BGR."
ETcVnColorSpaceTransform,Enums,TCVN_CST_LAB_TO_RGB,DINT,,present,"Transform the color space from CIE L*a*b* (for images of type USINT, all channels are scaled to a range from 0 to 255) to RGB."
ETcVnColorSpaceTransform,Enums,TCVN_CST_LUV_TO_BGR,DINT,,present,"Transform the color space from CIE L*u*v* (for images of type USINT, all channels are scaled to a range from 0 to 255) to BGR."
ETcVnColorSpaceTransform,Enums,TCVN_CST_LUV_TO_RGB,DINT,,present,"Transform the color space from CIE L*u*v* (for images of type USINT, all channels are scaled to a range from 0 to 255) to RGB."
ETcVnColorSpaceTransform,Enums,TCVN_CST_HLS_TO_BGR,DINT,,present,"Transform the color space from HLS (for images of type USINT, H is scaled to a range from 0 to 180 and L,S from 0 to 255) to BGR."
ETcVnColorSpaceTransform,Enums,TCVN_CST_HLS_TO_RGB,DINT,,present,"Transform the color space from HLS (for images of type USINT, H is scaled to a range from 0 to 180 and L,S from 0 to 255) to RGB."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_RG_TO_BGR_VNG,DINT,,present,"Transform the color space from BayerRG to BGR, using Variable Number of Gradients (supports images of type USINT)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GR_TO_BGR_VNG,DINT,,present,"Transform the color space from BayerGR to BGR, using Variable Number of Gradients (supports images of type USINT)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_BG_TO_BGR_VNG,DINT,,present,"Transform the color space from BayerBG to BGR, using Variable Number of Gradients (supports images of type USINT)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GB_TO_BGR_VNG,DINT,,present,"Transform the color space from BayerGB to BGR, using Variable Number of Gradients (supports images of type USINT)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_RG_TO_RGB_VNG,DINT,,present,"Transform the color space from BayerRG to RGB, using Variable Number of Gradients (supports images of type USINT)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GR_TO_RGB_VNG,DINT,,present,"Transform the color space from BayerGR to RGB, using Variable Number of Gradients (supports images of type USINT)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_BG_TO_RGB_VNG,DINT,,present,"Transform the color space from BayerBG to RGB, using Variable Number of Gradients (supports images of type USINT)."
ETcVnColorSpaceTransform,Enums,TCVN_CST_BAYER_GB_TO_RGB_VNG,DINT,,present,"Transform the color space from BayerGB to RGB, using Variable Number of Gradients (supports images of type USINT)."
